"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"450","Washington State","Public","Pac 12",2010,8.3,2011,12.8
"451","Arizona State","Public","Pac 12",2011,-3.8,2012,-0.2
"452","Auburn","Public","SEC",2011,-38.5,2012,-4.7
"453","Baylor","Private","Big 12",2011,23.1,2012,-28.6
"454","Clemson","Public","ACC",2011,25.3,2012,1.2
"455","Duke","Private","ACC",2011,-2.3,2012,10.5
"456","Florida State","Public","ACC",2011,0,2012,6.1
"457","Georgia Tech","Public","ACC",2011,15.4,2012,4.4
"458","Indiana","Public","Big 10",2011,-33.3,2012,0.1
"459","Iowa State","Public","Big 12",2011,4.5,2012,-3.5
"460","Kansas State","Public","Big 12",2011,23.1,2012,11.8
"461","LSU","Public","SEC",2011,8.2,2012,-18.6
"462","Michigan State","Public","Big 10",2011,-6,2012,6.4
"463","Mississippi State","Public","SEC",2011,-15.4,2012,6.1
"464","North Carolina State","Public","ACC",2011,-7.7,2012,1.8
"465","Northwestern","Private","Big 10",2011,-7.7,2012,12.3
"466","Ohio State","Public","Big 10",2011,-46.2,2012,-1.1
"467","Oklahoma State","Public","Big 12",2011,7.7,2012,21.6
"468","Oregon State","Public","Pac 12",2011,-16.7,2012,6.7
"469","Penn State","Public","Big 10",2011,15.4,2012,9.5
"470","Purdue","Public","Big 10",2011,20.5,2012,4.7
"471","Stanford","Private","Pac 12",2011,-7.7,2012,6.6
"472","Texas Tech","Public","Big 12",2011,-19.9,2012,2.6
"473","Alabama","Public","SEC",2011,15.4,2012,19.3
"474","Tennessee","Public","SEC",2011,-4.5,2012,4.6
"475","Texas","Public","Big 12",2011,19.9,2012,8.7
"476","Arizona","Public","Pac 12",2011,-20.5,2012,0.8
"477","Arkansas","Public","SEC",2011,7.7,2012,0.7
"478","California","Public","Pac 12",2011,12.2,2012,5.2
"479","UCLA","Public","Pac 12",2011,9.5,2012,0
"480","Florida","Public","SEC",2011,-7.7,2012,0.5
"481","Georgia","Public","SEC",2011,25.3,2012,0.9
"482","Illinois","Public","Big 10",2011,0,2012,9.4
"483","Iowa","Public","Big 10",2011,-7.7,2012,2.6
"484","Kansas","Public","Big 12",2011,-8.3,2012,-1.2
"485","Kentucky","Public","SEC",2011,-4.5,2012,11.9
"486","Maryland","Public","ACC",2011,-52.6,2012,-4
"487","Michigan","Public","Big 10",2011,30.8,2012,7.5
"488","Minnesota","Public","Big 10",2011,0,2012,-3.9
"489","Mississippi","Public","SEC",2011,-16.7,2012,4.6
"490","North Carolina","Public","ACC",2011,-7.7,2012,1.6
"491","Oklahoma","Public","Big 12",2011,-8.8,2012,1.7
"492","Oregon","Public","Pac 12",2011,-6.6,2012,24.3
"493","South Carolina","Public","SEC",2011,20.3,2012,15.3
"494","Southern California","Private","Pac 12",2011,21.8,2012,23.9
"495","Virginia","Public","ACC",2011,28.2,2012,15.2
"496","Washington","Public","Pac 12",2011,0,2012,0
"497","Wisconsin","Public","Big 10",2011,-6,2012,-1.6
"498","Vanderbilt","Private","SEC",2011,29.5,2012,14.1
"499","Wake Forest","Private","ACC",2011,21.2,2012,15.6
"500","Washington State","Public","Pac 12",2011,16.7,2012,13.2
"501","Arizona State","Public","Pac 12",2012,15.4,2013,-26.8
"502","Auburn","Public","SEC",2012,-36.5,2013,-9.8
"503","Baylor","Private","Big 12",2012,-15.4,2013,5.1
"504","Clemson","Public","ACC",2012,13.2,2013,8.4
"505","Duke","Private","ACC",2012,21.2,2013,7.9
"506","Florida State","Public","ACC",2012,16.5,2013,-1.5
"507","Georgia Tech","Public","ACC",2012,-11.5,2013,4
"508","Indiana","Public","Big 10",2012,25,2013,7.3
"509","Iowa State","Public","Big 12",2012,0,2013,13.7
"510","Kansas State","Public","Big 12",2012,7.7,2013,6.1
"511","LSU","Public","SEC",2012,-15.9,2013,9.1
"512","Michigan State","Public","Big 10",2012,-24.7,2013,4.2
"513","Mississippi State","Public","SEC",2012,7.7,2013,7
"514","North Carolina State","Public","ACC",2012,-7.7,2013,3
"515","Northwestern","Private","Big 10",2012,30.8,2013,3.7
"516","Ohio State","Public","Big 10",2012,53.8,2013,21.5
"517","Oklahoma State","Public","Big 12",2012,-30.8,2013,-8.2
"518","Oregon State","Public","Pac 12",2012,44.2,2013,1.8
"519","Penn State","Public","Big 10",2012,-2.6,2013,4.5
"520","Purdue","Public","Big 10",2012,-7.7,2013,-0.1
"521","Stanford","Private","Pac 12",2012,1.1,2013,6
"522","Texas Tech","Public","Big 12",2012,19.9,2013,6.3
"523","Alabama","Public","SEC",2012,0.5,2013,17.3
"524","Tennessee","Public","SEC",2012,0,2013,0
"525","Texas","Public","Big 12",2012,7.7,2013,7.7
"526","Arizona","Public","Pac 12",2012,28.2,2013,-2
"527","Arkansas","Public","SEC",2012,-51.3,2013,12.9
"528","California","Public","Pac 12",2012,-28.8,2013,16.5
"529","UCLA","Public","Pac 12",2012,21.4,2013,18.1
"530","Florida","Public","SEC",2012,30.8,2013,-1.1
"531","Georgia","Public","SEC",2012,14.3,2013,5.1
"532","Illinois","Public","Big 10",2012,-37.2,2013,5.6
"533","Iowa","Public","Big 10",2012,-20.5,2013,11.4
"534","Kansas","Public","Big 12",2012,-8.3,2013,23.5
"535","Kentucky","Public","SEC",2012,-25,2013,30.7
"536","Maryland","Public","ACC",2012,16.7,2013,3.6
"537","Michigan","Public","Big 10",2012,-23.1,2013,10
"538","Minnesota","Public","Big 10",2012,21.2,2013,12.8
"539","Mississippi","Public","SEC",2012,37.2,2013,2.3
"540","North Carolina","Public","ACC",2012,12.8,2013,25.5
"541","Oklahoma","Public","Big 12",2012,0,2013,-5.7
"542","Oregon","Public","Pac 12",2012,6.6,2013,-7.6
"543","South Carolina","Public","SEC",2012,0,2013,9.9
"544","Southern California","Private","Pac 12",2012,-29.5,2013,2.7
"545","Virginia","Public","ACC",2012,-28.2,2013,6.6
"546","Washington","Public","Pac 12",2012,0,2013,23.1
"547","Wisconsin","Public","Big 10",2012,-21.4,2013,9.2
"548","Vanderbilt","Private","SEC",2012,23.1,2013,9.7
"549","Wake Forest","Private","ACC",2012,-4.5,2013,-2.5
"550","Washington State","Public","Pac 12",2012,-8.3,2013,0.4
